Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Excel: Sales Forecasting,"Creating accurate and reliable sales forecasts is essential for any sales leader. Professor Michael McDonald shows how to use Excel to forecast sales more effectively, beginning with a quick primer on sales forecasting, then explaining the business intelligence used in forecasting and the basics of regression analysis. Next, Michael shows how to use Excel to gather the necessary data for your forecast, how to cleanse data so that it will lead to more accurate forecasts, and how to interpret and explain the results of a regression forecast. The course concludes with a sample project, forecasting sales for a fictional restaurant. In this sample project, you’ll construct a data set, compute a simple set of forecast metrics, and construct an in-depth sales forecast. Finally, Michael explains the limitations of sales forecasting and how you can mitigate risk.",Course,2023-06-05 16:08 UTC,N/A,true,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-04-12 20:16 UTC,N/A,false,N/A,
Asking Great Sales Questions,"All too often sales calls become an interrogation, leaving the prospects feeling defensive and unsure where the conversation is leading. In this course, sales coach Jeff Bloomfield provides an alternative that puts the focus back on customers and clients. Jeff helps you gain insight into your customer’s business problems and objectives, and use those insights to guide your sales questions. By asking the right questions, you can create connection, drive credibility, create urgency, and confirm value clarity—validating the business impact of your solution. Plus, get advice on digging deeper and continuing the conversation—for more successful sales interactions and longer-lasting relationships.",Course,2020-01-20 20:45 UTC,N/A,false,N/A,
Building a WordPress Membership Site: Getting Started,"Do you want to build a membership site with WordPress? Learn how, as instructor Carrie Dils walks you through building a membership site with WordPress and a membership plugin. Carrie explains what a membership site is and what types of membership plugins you can use to build them. She goes over different types of membership plugins and what factors you should consider in finding the best plugin for your needs. Carrie explains the costs of maintaining a membership site, different pricing models, and considerations for billing. She concludes with useful tips on ways to learn more.",Course,2023-06-06 01:20 UTC,2023-06-06 01:19 UTC,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:135382,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:135382,Course,2017-02-19 22:46 UTC,N/A,false,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2024-12-18 10:30 UTC,N/A,false,N/A,
Digital Marketing Tools: Create a Marketing Campaign from Start to Finish,"The sheer number of tools available to marketing teams today can feel a little overwhelming at times. Which tools should you use, when and how should you use them, and what can you do to get the most out of your campaign? In this step-by-step, beginner-friendly course, digital marketing expert and instructor Anson Alexander shows you how to create a digital marketing campaign from start to finish, with a practical overview of the most important tools to get up to speed.<br><br>Explore the nuances of building a successful campaign from the ground up, from forming your strategy to content creation and preparation before the launch, all the way through campaign execution to performance analysis and postlaunch review. Join Anson as your expert guide, even if you don’t have any marketing experience. By the end of this course, you'll be ready to create a leading digital campaign using Airtable, Google Analytics, Hootsuite, Canva, HubSpot, WordPress, and more.",Course,N/A,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:533302,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:533302,Course,2019-12-29 02:33 UTC,N/A,false,N/A,
Leading with Emotional Intelligence (2018),"Emotions are all around us in the office, and it's important for leaders to understand how to harness them to cultivate productivity and positive relationships. In this course, Britt Andreatta shares how to boost your emotional quotient (EQ) to better lead teams, work with peers, and manage up. Learn what emotional intelligence is and how it factors in at work, and discover concrete techniques for raising your own EQ. This includes perceiving yourself accurately, exercising emotional self-control, understanding and managing your triggers, and developing empathy. Then, turn those lessons around to build your awareness of others and become a more inspiring—and effective—leader.",Course,2021-03-12 12:38 UTC,N/A,false,N/A,
Google Ads Essential Training (2022),"Learn the foundations of pay-per-click (PPC) advertising with Google Ads (formerly known as AdWords) the industry-leading PPC platform. First, explore how Google Ads works and how it fits with what your business—and your customers—need. Then learn how to set up a new Google Ads account and start researching your keywords: the foundation of all great advertisements. After he demonstrates how to set up a new campaign and write your first ad, instructor Brad Batesole shows how to use Google Ads reporting and Google Analytics to monitor your campaign's performance. Brad also shows how to optimize ads to get more clicks, conversions, and ultimately more return on your investment (ROI). Plus, go beyond the basics with ad extensions—a feature which can increase your click-through rate by several percentage points.",Course,2023-06-06 10:58 UTC,N/A,true,N/A,
Having Difficult Conversations (2013),"Leadership coach and lynda.com director of learning and development Britt Andreatta shares her tips and strategies for having difficult conversations. In her four-phase model, you'll discover the situations that lead up to difficult conversations, decide when the conversation is warranted, prepare for the interaction, and monitor outcomes to ensure success.<br><br>

Along the way, learn the secrets of turning difficult conversations into successful interactions that enhance communication and rapport. Improve both your professional and personal relationships, finding your way back from conflict through mutually successful outcomes.<br><br>Lynda.com is a PMI Registered Education Provider. This course qualifies for professional development units (PDUs). To view the activity and PDU details for this course, click <a href=""https://ccrs.pmi.org/search/Activity/215655"" target=""_blank"">here</a>.<br><img src=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAEek_v1B9xtISnas4Pi7rm5RPg.jpg"" height=""50%"" width=""50%""><br>The PMI Registered Education Provider logo is a registered mark of the Project Management Institute, Inc.",Course,2018-09-13 13:29 UTC,N/A,false,N/A,
Moving Past Change Fatigue to the Growth Edge,"Disruption creates opportunities. When employees and leaders are mired in a crisis, they often find innovative ways to tackle old processes. But how can organizations sustain the pace of change without triggering burnout? In this course, instructor Charlene Li shows you how, explaining how to stretch people to reach for audacious growth without stressing them out. Charlene shares how to define clear boundaries, so that teams feel comfortable leaving their comfort zone and working at the edge. She identifies the critical structures and processes to put in place to create growth with stability. Plus, she shares tips for combatting change fatigue, including how to set stretch goals and keep the focus on your future customers.",Course,2023-06-05 15:42 UTC,N/A,false,N/A,
Building Thought Leadership as a Diverse Voice,"<p>Underrepresented groups (URGs) tend to face much tougher professional odds, particularly when it comes to seeking upper-level employment opportunities. In this course, Emmy-award winning keynote speaker and thought leader Jessica Chen shows you how to overcome typical biases and barriers to become a successful and impactful thought leader for URGs.</p><p>Reimagine your approach to thought leadership by incorporating more diverse, equitable, inclusive slates. Get tips from Jessica on addressing common challenges, overcoming imposter syndrome as an underrepresented thought leader, communicating your insights, building your thought leadership brand, and creating your own leadership road map to cultivate meaningful connections with others and become known as an expert at work.</p>",Course,2024-03-27 02:32 UTC,N/A,false,N/A,
Effective Listening (2019),"<p>Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2020-12-26 08:59 UTC,N/A,false,N/A,
Body Language for Leaders (2019),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares tips for making a positive first impression within the first few seconds of any interaction. She also discusses the role of body language in cross-cultural communication, delves into the importance of body language for leaders, and shows how you can establish leadership presence. Finally, she provides simple and effective tips on communicating with gestures and stance.",Course,2020-04-06 14:15 UTC,N/A,false,N/A,
WordPress Ecommerce: WooCommerce,"Learn how to build an online store using one of the most popular and trusted ecommerce solutions for WordPress. WooCommerce provides advanced store management for physical, digital, and even subscription-based products in a clean and easy-to-understand package. Simply put, WordPress plus WooCommerce equals your online shopping portal on your terms. Join WooCommerce expert Patrick Rauland as he shows how to build your online store, complete with payment processing and shipping. Learn how to navigate the inventory, tax, and shipping settings; add products; manage sales; and customize your store's layout. Plus, learn how to integrate external services like Google Analytics and MailChimp for customer analytics and email marketing.",Course,2023-06-06 10:55 UTC,N/A,false,N/A,
Building Self-Confidence,"Confidence is crucial to personal and professional success. People who aren't confident tend to miss out on new challenges, relationships, and opportunities. The good news is self-confidence is self-perpetuating; once you develop it, confidence can buoy you from one situation to the next. In this course, author and educator Dr. Todd Dewett shares simple and practical techniques to build and maintain self-confidence. In chapter one, he teaches you how to own the situation, embrace your imperfections, and take action to move forward. In chapter two, you can learn how to sustain your confidence, interaction after interaction, by aligning with the right people, maintaining a positive perspective, and putting together a plan.",Course,2020-07-13 21:30 UTC,2020-07-13 21:26 UTC,false,N/A,
WordPress: Using a Content Delivery Network,"If you have a WordPress site, you may have heard that you can benefit from using a content delivery network (CDN), but you might not understand the technology or how to use it. This course teaches what you need to know to confidently use a CDN with a WordPress site.<br><br>CDNs are great, but they aren't necessary for every website. Instructor Carrie Dils explains what a CDN is, what types of sites benefit from a CDN, and what type of content a CDN serves. What if your web host already has a CDN, but you want to use your own? Carrie shows you how to proceed. A CDN is just one part of a larger strategy for optimizing your website for speed, and Carrie explains some other parts to consider. Carrie walks you through how to choose a CDN provider and reviews key features of several popular CDN providers. Once you’ve chosen a CDN provider, you’ll need to enable, configure, and integrate the CDN. Carrie shows you how to navigate that process successfully, including how to speed test your site.",Course,2023-06-06 01:21 UTC,N/A,false,N/A,
Foundations of Raising Capital,"<p>For many businesses, success is dependent on raising the capital necessary to fund the business to a point of profitability—and that capital can come from a variety of sources. In this course, explore several different methods for raising capital for your business, including loans, accelerator programs, crowdfunding, and venture capital. Instructor Jay Clouse sets you up for success by covering what to do before you pursue investment options, explaining who invests in businesses, why they do it, and how to convince them to invest in yours. Jay shares tips for constructing a presentation to support your pitch, as well as building effective relationships with potential investors. And throughout the course, he delves into both traditional funding options, such as banks and angel investors, and newer alternative forms of funding. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/entrepreneurship-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2021-10-12 22:29 UTC,N/A,false,N/A,
Managing Your Personal Finances,"For many of us who are not financial professionals, worrying about money and saving for the future can be a chore. In this course, financial expert Jane Barratt shows how opportunities arise when you change your attitude towards money. She walks you through the basics of personal finance—earning, spending, saving, and investing—with an eye for finding opportunities to enrich your life. She addresses such questions as: How can you earn more? What are the different types of income? How can you use tax season as a benchmark for planning and goal setting? How do you budget? What is the value of money and what are the smartest approaches for savings and investing?  All of this and more is covered in this beginner's course in personal finance.",Course,2023-06-05 16:07 UTC,N/A,false,N/A,
Brad Feld on Validating Your Startup Idea,"So you have an idea for a business. Maybe you have lots of ideas, with lots of potential. How do you focus on the opportunity that is going to be the most successful and the best use of your time? Brad Feld is a serial entrepreneur turned investor, who has helped build 100s of companies over the last 30 years, including Techstars, his startup accelerator. In this course, he walks through the preliminary steps that any entrepreneur needs to follow to determine whether an idea has merit: whether it is significant, meaningful, and disruptive. He provides a framework to evaluate an idea and its risks—as well the costs of not pursuing the idea at all. He then explains, in detail, how to evaluate your opportunity, your product, your market, and your team. These steps lay the groundwork critical to a successful startup, resulting in a refined and well-researched idea that you, your partners, your customers, and potentials investors can all get behind.",Course,2022-01-19 00:40 UTC,N/A,false,N/A,
How to use ChatGPT for Content Creation,"Among the many uses for AI, did you know you can use it to facilitate content creation? In this course, podcaster and content strategist Nicky Saunders guides you through everything you need to know to start crafting compelling, captivating content. Get an overview of ChatGPT and how to leverage it effectively to enhance your social media presence. Set up your ChatGPT environment and learn best practices. Step through crafting social media posts and curating  visual content with ChatGPT, and then dive into ways ChatGPT can enhance your content planning and strategy. This course empowers you to embrace the future of content creation with ChatGPT.",Course,2025-06-27 16:29 UTC,N/A,false,N/A,
Speaking Up At Work,"Want to ensure that your best ideas are heard by the right people in your organization? Improve your ability to speak up at work. In this course, join communications and media expert Jessica Chen as she uncovers the common mental barriers that keep professionals from speaking up at work, as well as the steps you can take to actively build your authority. Jessica discusses how your childhood, cultural, and work experiences may have shaped your perception of good communication. She goes over how to ask the right questions and effectively tailor your message to suit your audience. Plus, she shares tips for showcasing your confidence, whether you're speaking to people on video or in person.",Course,2021-03-02 23:45 UTC,N/A,false,N/A,
Building a Small Business Website with Open Source WordPress,"Want to build a website for your small business? Do it yourself with WordPress. In this course, Carrie Dils shows how to create a website, complete with a blog, contact form, and calls-to-action. She walks through every step in the process: From site planning and finding the right plugins, to installing a new theme and customizing the appearance of your site to match your brand. Plus, get tips for prepping and sharing your site with the world, and learn how to implement the security you need to keep it safe.",Course,N/A,N/A,true,N/A,
Lead Like a Boss,"Want to get ahead? Inspire others? Nurture the next gen? Become the leader of the pack? You need to learn to lead like a <b>boss</b>. Dr. Todd Dewett has been coaching leaders for over 20 years. The lessons he teaches are short and frank. They make you think; they make you laugh; they make you change. Here he explains what it takes to not just survive but thrive in meetings, navigate politics at work, balance servant leadership with self-care, build a rapport with colleagues, understand why smart isn't always superior-and more. These are leadership lessons like you've never heard before. Whether you're managing a team, a company, or a critical project, these tips can help lead <i>you</i> in the right direction.",Course,2020-05-28 02:12 UTC,N/A,false,N/A,
The DIY Photographer,"In the world of photography, even the simplest accessories can cost a few days' salary. The answer? Don't buy it. Build it!<br><br>

That's the idea behind <em>The Do-It-Yourself Photographer</em>. Photographer and educator Joseph Linaschke shows how you can fashion ordinary items—from plastic cups to clamps to parchment paper—into accessories that will improve lighting, stabilize your camera, and much more.<br><br>

So roll up your sleeves and break out the gaffer's tape. Learn how to become a DIY photographer.",Course,2020-04-20 20:29 UTC,N/A,false,N/A,
AI Automation with Anthropic Claude API's Agentic Computer Use,"Discover the power of Anthropic Claude’s new computer use API, enabling AI to automate clicks, type, and navigate browsing tasks. This course covers setup, functionality, and essential safety practices, addressing key security and reliability concerns. By the end, you’ll understand how to leverage Claude 3.5 Sonnet for advanced automation while managing the unique risks involved in working with AI-controlled desktop environments.",Course,2025-08-08 02:51 UTC,N/A,false,N/A,
Brad Feld on Raising Capital,"To get a business off the ground or take it to the next level, entrepreneurs often need extra cash. Venture financing, where money is raised from venture capital firms or individual investors as opposed to a public institution like a bank, is a popular avenue. But how do you decide if financing makes sense for your business? How much money do you need? And who do you ask? Brad Feld is an investor who has overseen thousands of rounds of venture financing, enabling companies like Zynga, MakerBot, and Fitbit to grow from startups to established enterprises. In this course, he walks you through the process of evaluating, finding, and securing funding for your business. Learn about the different stages of financing, the many types of investors, and different avenues of funding: traditional convertible debt and equity and newer practices such as crowdfunding and pre-sales. Brad helps you zero in on a solution that's right for your business and develop a mindset for success.",Course,2021-12-26 06:12 UTC,N/A,false,N/A,
Selling to Executives,"Selling to executives can be challenging. Many sales reps struggle to close deals with this high-powered—and occasionally intimidating—portion of their clientele. For the last decade, Mike Gamson has been heading up sales at LinkedIn. In this course, he shares his hard-won knowledge with you, to help you prepare a winning game plan for tackling your meetings with executives.",Course,2020-04-24 16:27 UTC,N/A,false,N/A,
Sales: Closing Strategies,"What separates the inexperienced salesperson from the successful one is the ability to close sales. However, along with prospecting and handling objections, closing sales is one of the hardest skills for salespeople to master. Join Dean Karrel, a trainer and sales executive for over 30 years, for this course, which provides tips and techniques to help you develop your own successful closing strategy. Learn how to nurture the relationship with your buyer, overcome obstacles, recognize buying signals, and ask for the business. Plus, find out how to improve your close rate throughout the sales pipeline by expanding what it means to sell.",Course,2020-01-13 03:51 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","<p>Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee lifecycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-02-23 20:56 UTC,N/A,false,N/A,
Foundations of Responsible AI (2022),"How well do you understand the issues around algorithmic bias and unfairness? In this course, data scientist and AI ethicist Ayodele Odubela teaches you the principles of responsible AI, as well as the frameworks necessary to apply RAI techniques in AI systems. Ayodele explains modern AI development and problems in machine learning (ML) that differ from software engineering. She discusses big data and where it comes from, then covers several important points of data awareness and literacy. Ayodele goes over ethical frameworks, consequence scanning, fairness, accountability, and more. She also explains fairness-related harms, why they arise, why they matter, and what you can to avoid or mitigate them. Plus, Ayodele offers a detailed description of human rights as related to AI.",Course,2025-07-13 01:00 UTC,N/A,false,N/A,
Confident Performance: Excelling When It Counts,"Does confidence come from being great at what you do? Or does feeling confident actually lead you to becoming great? In this course, TJ Guttormsen teaches you how to perform confidently, no matter what level of skill you currently have—without veering into being delusional or arrogant. TJ explains how to create realistic expectations for your outcomes and abilities, and how to communicate those to others so that even when you know that you're not great at something (yet), you can still do it without feeling nervous or stressed.
Learn how to deal with and understand your own confidence-hindering emotions; minimize self-imposed pressure and overcome perfectionism, self-doubt, fear of judgment; deal with stress during your performance; and more.",Course,2024-11-09 15:47 UTC,N/A,false,N/A,
Email Marketing: Drip Campaigns,"Email marketing campaigns, when executed properly, can help you build trust with even the most disengaged customer. Email drip campaigns are effective for your lead generation operation, managing abandoned carts, and sharing news of your products in engaging ways. Marketing expert Sam Dey shares tips and tricks for running successful email drip campaigns. He shows you how to nurture your leads, draft effective emails, refine your sales funnel, and measure your results. He also explains how to reengage with unsubscribers, manage disengaged subscribers, and other strategies that can help you retarget your customers with marketing automation.",Course,N/A,N/A,true,N/A,
Excel Data Visualization: Designing Custom Visualizations,"Interested in using more than the built-in chart and graph tools to showcase your data in Excel? In this course—the second and final installment in the <i>Excel Data Visualization</i> series—instructor Chris Dutton steps through how to create unique, custom data visualizations in Excel. Since Chris covered the core data visualization capabilities of Excel in the previous installment of the series, he dives into some more sophisticated techniques here. As he moves through a series of hands-on demos, Chris covers everything from building dynamic dashboards to advanced maneuvers like value-based formatting and dynamic series selection.",Course,2023-06-05 16:08 UTC,N/A,true,N/A,
Nano Tips to Foster a Growth Mindset and Mental Agility with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>In this installment award-winning leadership strategist and peak performance specialist Shadé Zahrai shows you how you can succeed professionally and in life using a growth mindset and mental agility.</p>

<p>Shadé explains how to master your inner dialogue by tapping into the power of “yet”, shifting your focus to possibility, and using language for growth. She covers ways to overcome obstacles through changing your perspective on failure, emphasizing growth over speed, and detaching from external approval. Plus, Shadé gives you several practical tips on how you can apply a growth mindset toward others in how you respond to compliments and how you give and receive feedback.</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-06-28 19:24 UTC,N/A,false,N/A,
Learning Data Science: Understanding the Basics,"<p>Many of the people who work on data science teams won't be data scientists. They'll be the managers and associates who want to gain real business value from your organization's data. These team members need to understand the language of data science so they can ask better questions, understand processes, and help effectively lead their teams and organizations to making better data-driven decisions. This course is an introduction to data science for people who aren't planning on being full-time data scientists. It introduces big data concepts, tools, and techniques, including gathering and sorting data, working with databases, understanding structured and unstructured data types, and applying statistical analysis. Business coach and author Doug Rose helps you speak the language of data science so that you can guide your organization through the opportunities and limitations in this dramatically growing field. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-business-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2025-04-26 23:19 UTC,N/A,true,N/A,
Tips for Fostering a Growth Mindset from Today’s Top Business Leaders,"In this course, high-profile business leaders share short, actionable advice for anyone trying to cultivate a growth mindset. Hear about how to own your failures from media mogul Jeffrey Katzenberg. Find out how to change a scarcity mindset from Nopalera founder Sandra Velasquez. Learn to be open to experimentation with lessons from Liquid Death CEO Mike Cessario. Check out this course for these lessons and more to find out how you can develop a growth mindset.",Course,2026-04-25 09:28 UTC,N/A,false,N/A,
Carter Beauford: Under the Table and Drumming,"Learn drumming from a world-class musician. Carter Beauford, world-famous drummer for the Dave Matthews Band, performs along with the rhythm tracks from six of the band's best songs, including ""Ants Marching"" and ""Satellite."" Carter covers such topics as left-hand lead and open-hand approaches, fills, double-bass drums, drum set and cymbal setup, time feel, background and influences, and more. He also discusses the early days of the Dave Matthews Band. These lessons are valuable for drummers of all levels, as well as any musician who plays or programs drums.<br><br>

This course was created by Alfred Music. We are pleased to offer this training in our library.",Course,2021-03-25 10:34 UTC,N/A,false,N/A,
Technical WordPress SEO (2019),"Want to improve the search ranking of your WordPress site? Optimize it from the inside out. Learn technical SEO techniques that enhance the discoverability, structure, and performance of your website <em>and</em> get you to the top of search results. Madecraft instructor and marketing expert Brad Batesole starts with a general explanation of SEO architecture, which impacts how your pages are organized, nested, and linked. Brad then shows how to improve elements such as usability, media handling, mobile friendliness, and speed. He also reveals the technical tools and plugins that SEO pros use to improve performance and conduct diagnostics, such as web crawls and speed tests. By the end of this course, you will be able to go beyond keywords and optimize the very foundations of your WordPress website.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2023-10-14 02:00 UTC,N/A,true,N/A,
Learning Cultural Strategy for Design,"The interaction between culture, people, and trends is the driving force behind influential brands. Cultural strategy reveals how and why consumers think, act, and feel-now and in the future. This course is for anyone who wants to harness their creative abilities to shape brands, and ensure that those brands not only participate in the cultural zeitgeist, but also contribute to it. In this course, Gerard Crichlow discusses the four truths of purpose-led brands. He helps strategy teams get to a creative idea, summarize their findings, and communicate those findings to a creative team. He wraps up the course with a review of a campaign ecosystem done well.",Course,2018-08-08 18:34 UTC,N/A,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2020-04-28 04:49 UTC,N/A,false,N/A,
Customer Service: Handling Abusive Customers (2018),"<p>What is the best way to handle a customer who steps into dangerous territory? What strategies will help diffuse and refocus a bad interaction, and when is it appropriate to walk away? In this course, join customer service expert David Brownlee—the author of <i>Rock Star Customer Service</i>—as he shares real-life examples and actionable steps that can help you confidently handle abusive customers in a variety of contexts. Upon wrapping up this course, you'll have the knowledge you need to formulate a plan of action and navigate difficult customer service interactions with poise and professionalism.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/zendesk-customer-service-professional-certificate"" target=""_blank"">Professional Certificate</a> from Zendesk.</p>",Course,2020-05-13 19:18 UTC,N/A,false,N/A,
"The Persuasion Code, Part 3: The Neuroscience of Closing Sales","In the end, your success depends on your capacity to close. While many sales methodologies present various closing techniques, they fail to recognize that this delicate phase of your sales journey is about managing your prospects’ fear of regret. In this course, neuromarketing expert Patrick Renvoise will demonstrate the importance of understanding the Primal Brain. This brain, famously called System 1 by Daniel Kahneman—2002 Nobel Prize winner and author of Thinking, Fast and Slow—drives fear, and it becomes very active during the fearful last moment when a decision needs to be made. Using a unique three-step process, learn how to better manage your prospect fear of regret. Find out how to answer the objections that may arise at this point of your sales process. Finally, after a brief discussion on the ethics of neuropsychology, Patrick shows you that preparation and practice are key to get your prospects to say yes.",Course,2025-06-29 20:55 UTC,N/A,false,N/A,
SketchUp Pro 2022 Essential Training,"Build your 3D modeling skills by mastering the basics of SketchUp. In this course, instructor Tammy Cody helps you get up to speed with this easy-to-use computer modeling application by reviewing the drawing and design tools offered in the latest version of SketchUp and then creating the opportunity to practice what you’ve learned. Find out how to navigate the interface, manipulate objects, draw and organize elements, and work with materials and textures on both Windows and Mac computers. Get tips along the way to apply simple styles and animation techniques to make your 3D projects more polished and presentable.",Course,2022-04-18 14:13 UTC,N/A,false,N/A,
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2025-07-01 20:42 UTC,N/A,false,N/A,
Lead Generation: Multichannel PPC Strategy,"This course navigates the intricate, ever-evolving landscape of pay-per-click advertising and describes how to leverage it for effective lead generation. Amy Bishop guides you through the multi-channel strategy-building process, including key topics like building your data sources, selecting your channels, and leveraging targeting strategies. Amy covers the critical step of coordinating your lead generation campaigns across multiple channels, as well as projecting performance and defining campaign budgets. She outlines the concepts and shares the tactical tips you need to design, execute, and measure an effective multi-channel PPC strategy for lead generation.",Course,N/A,N/A,true,N/A,
Introduction to Career Skills in Software Development,"<p>Are you ready to take the first step on your journey as a computer programmer? Maybe you want to land a new job or change careers to a different industry. Whatever your goals, you don’t need a tech background to get started with programming today. In this course, instructor Annyce Davis gives you a comprehensive, behind-the-scenes look at what it’s really like to be a programmer, from basic concepts and core professional skills, to landing your first role and advancing your career.</p><p>Discover the power of computing in projects and technical roles, as you prepare for the Microsoft GSI Programming Foundations certificate exam. Learn about a week in the life of a programmer working in software development. Explore tools of the trade and various programming languages with a crash course in Python, the object-oriented programming language that’s beginner-friendly and easy to use. Upon completing this course, you’ll be ready to rewrite your resume and kick off your job hunt today. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-software-development-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-11-05 03:17 UTC,N/A,false,N/A,
